"","X","Site","month","Method","Microsite","Rep","field.micro","shrub.x","shrub.y","shrub.z","dry.veg.percent","green.veg.percent","woody.debris.percent","rocks.percent","bare.ground.percent","sum_percent","veg..height","dominant.type","dried.","notes","uniID","abun","Species"
"70",222,"CaS","Aug","pitfall","open",1,"open1",NA,NA,NA,45,0,0,35,20,100,6,"herb",TRUE,"","CaSAugopen1",164,5
"71",231,"CaS","Aug","pitfall","open",10,"open10",NA,NA,NA,37,0,0,0,63,100,7,"herb",TRUE,"","CaSAugopen10",6,1
"72",232,"CaS","Aug","pitfall","open",11,"open11",NA,NA,NA,41,0,0,1,58,100,10,"herb",TRUE,"","CaSAugopen11",41,5
"73",233,"CaS","Aug","pitfall","open",12,"open12",NA,NA,NA,36,0,0,4,60,100,8,"herb",TRUE,"","CaSAugopen12",116,2
"74",223,"CaS","Aug","pitfall","open",2,"open2",NA,NA,NA,30,0,0,2,68,100,6,"herb",TRUE,"","CaSAugopen2",16,3
"75",224,"CaS","Aug","pitfall","open",3,"open3",NA,NA,NA,49,0,0,1,50,100,7,"herb",TRUE,"","CaSAugopen3",3,2
"76",225,"CaS","Aug","pitfall","open",4,"open4",NA,NA,NA,16,0,0,1,83,100,8,"herb",TRUE,"","CaSAugopen4",29,1
"77",226,"CaS","Aug","pitfall","open",5,"open5",NA,NA,NA,23,0,6,2,69,100,4,"grass",TRUE,"","CaSAugopen5",27,4
"78",227,"CaS","Aug","pitfall","open",6,"open6",NA,NA,NA,84,0,0,1,15,100,2,"grass",TRUE,"","CaSAugopen6",55,5
"79",228,"CaS","Aug","pitfall","open",7,"open7",NA,NA,NA,38,0,0,2,60,100,6,"grass",TRUE,"","CaSAugopen7",43,3
"80",229,"CaS","Aug","pitfall","open",8,"open8",NA,NA,NA,52,0,0,3,45,100,10,"grass",TRUE,"","CaSAugopen8",54,3
"81",230,"CaS","Aug","pitfall","open",9,"open9",NA,NA,NA,48,0,0,1,51,100,4,"grass",TRUE,"","CaSAugopen9",20,4
"82",210,"CaS","Aug","pitfall","shrub",1,"shrub1",330,320,155,98,0,0,2,0,100,38,"grass",TRUE,"","CaSAugshrub1",133,2
"83",219,"CaS","Aug","pitfall","shrub",10,"shrub10",990,340,140,25,0,35,0,40,100,22,"herb",TRUE,"6 shrubs very close together","CaSAugshrub10",40,2
"84",220,"CaS","Aug","pitfall","shrub",11,"shrub11",475,445,170,97,0,1,0,2,100,43,"grass",TRUE,"","CaSAugshrub11",278,2
"85",221,"CaS","Aug","pitfall","shrub",12,"shrub12",500,480,155,81,5,4,4,6,100,30,"grass",TRUE,"","CaSAugshrub12",19,2
"86",211,"CaS","Aug","pitfall","shrub",2,"shrub2",265,240,130,97,0,2,0,1,100,17,"grass",TRUE,"","CaSAugshrub2",79,2
"87",212,"CaS","Aug","pitfall","shrub",3,"shrub3",350,300,150,70,0,30,0,0,100,22,"grass",TRUE,"mushroom","CaSAugshrub3",84,3
"88",213,"CaS","Aug","pitfall","shrub",4,"shrub4",215,195,95,20,0,30,0,50,100,8,"herb",TRUE,"","CaSAugshrub4",35,4
"89",214,"CaS","Aug","pitfall","shrub",5,"shrub5",600,500,190,100,0,0,0,0,100,35,"grass",TRUE,"3 big shrubs","CaSAugshrub5",170,3
"90",215,"CaS","Aug","pitfall","shrub",6,"shrub6",335,245,140,80,0,1,0,19,100,17,"grass",TRUE,"","CaSAugshrub6",121,3
"91",216,"CaS","Aug","pitfall","shrub",7,"shrub7",330,260,155,91,0,0,0,9,100,41,"grass",TRUE,"","CaSAugshrub7",386,3
"92",217,"CaS","Aug","pitfall","shrub",8,"shrub8",435,360,120,85,0,4,0,11,100,31,"grass",TRUE,"","CaSAugshrub8",86,2
"93",218,"CaS","Aug","pitfall","shrub",9,"shrub9",340,235,115,89,0,3,0,8,100,24,"grass",TRUE,"","CaSAugshrub9",27,2
"94",13,"CaS","July","pitfall","open",1,"open1",NA,NA,NA,77,0,0,3,20,100,12,"grass",TRUE,"","CaSJulyopen1",1,1
"95",21,"CaS","July","pitfall","open",10,"open10",NA,NA,NA,0,0,1,2,97,100,0,"grass",TRUE,"","CaSJulyopen10",12,2
"96",22,"CaS","July","pitfall","open",11,"open11",NA,NA,NA,1,0,2,1,96,100,5,"grass",TRUE,"","CaSJulyopen11",10,3
"98",14,"CaS","July","pitfall","open",2,"open2",NA,NA,NA,2,7,1,4,86,100,35,"herb",TRUE,"","CaSJulyopen2",15,3
"99",15,"CaS","July","pitfall","open",3,"open3",NA,NA,NA,1,2,0,4,93,100,2,"herb",TRUE,"","CaSJulyopen3",11,4
"100",16,"CaS","July","pitfall","open",4,"open4",NA,NA,NA,2,2,1,1,94,100,7,"herb",TRUE,"","CaSJulyopen4",51,3
"101",17,"CaS","July","pitfall","open",5,"open5",NA,NA,NA,1,2,0,2,95,100,13,"grass",TRUE,"","CaSJulyopen5",43,3
"102",18,"CaS","July","pitfall","open",7,"open7",NA,NA,NA,70,0,0,0,30,100,8,"grass",TRUE,"","CaSJulyopen7",3,1
"103",19,"CaS","July","pitfall","open",8,"open8",NA,NA,NA,10,0,1,5,84,100,14,"grass",TRUE,"","CaSJulyopen8",15,3
"104",20,"CaS","July","pitfall","open",9,"open9",NA,NA,NA,3,0,0,2,95,100,1,"grass",TRUE,"","CaSJulyopen9",3,3
"105",1,"CaS","July","pitfall","shrub",1,"shrub1",350,325,126,91,0,3,1,5,100,26,"Grass",TRUE,"3 or 4 stems for one big bush","CaSJulyshrub1",55,3
"106",10,"CaS","July","pitfall","shrub",10,"shrub10",470,430,165,88,0,10,1,1,100,8,"Grass",TRUE,"Grasshoppers mating (?) in bush","CaSJulyshrub10",8,1
"107",11,"CaS","July","pitfall","shrub",11,"shrub11",250,210,100,60,2,3,2,33,100,22,"Grass",TRUE,"","CaSJulyshrub11",8,2
"108",12,"CaS","July","pitfall","shrub",12,"shrub12",315,315,140,90,1,0,2,7,100,37,"Grass",TRUE,"","CaSJulyshrub12",2,2
"109",2,"CaS","July","pitfall","shrub",2,"shrub2",610,500,160,96,0,3,1,0,100,24,"Grass",TRUE,"","CaSJulyshrub2",24,3
"110",3,"CaS","July","pitfall","shrub",3,"shrub3",325,255,155,99,0,0,1,0,100,33,"Grass",TRUE,"","CaSJulyshrub3",129,4
"111",4,"CaS","July","pitfall","shrub",4,"shrub4",285,250,120,83,0,6,1,10,100,31,"Grass",TRUE,"","CaSJulyshrub4",40,4
"112",5,"CaS","July","pitfall","shrub",5,"shrub5",290,230,170,96,0,1,1,2,100,29,"Grass",TRUE,"","CaSJulyshrub5",21,5
"113",6,"CaS","July","pitfall","shrub",6,"shrub6",295,275,150,91,0,0,1,8,100,33,"Grass",TRUE,"","CaSJulyshrub6",37,3
"114",7,"CaS","July","pitfall","shrub",7,"shrub7",365,360,170,74,0,10,1,15,100,25,"Grass",TRUE,"","CaSJulyshrub7",91,3
"115",8,"CaS","July","pitfall","shrub",8,"shrub8",390,365,185,90,0,1,1,8,100,28,"Grass",TRUE,"","CaSJulyshrub8",5,4
"116",9,"CaS","July","pitfall","shrub",9,"shrub9",320,315,160,94,0,0,1,5,100,29,"Grass",TRUE,"","CaSJulyshrub9",30,3
"117",246,"CaSl","Aug","pitfall","open",13,"open1",NA,NA,NA,62,3,0,0,35,100,10,"grass",TRUE,"","CaSlAugopen1",26,2
"118",255,"CaSl","Aug","pitfall","open",22,"open10",NA,NA,NA,94,0,5,0,1,100,16,"grass",TRUE,"","CaSlAugopen10",29,3
"119",256,"CaSl","Aug","pitfall","open",23,"open11",NA,NA,NA,85,0,0,0,15,100,12,"herb",TRUE,"","CaSlAugopen11",66,2
"120",257,"CaSl","Aug","pitfall","open",24,"open12",NA,NA,NA,93,0,0,0,7,100,14,"grass",TRUE,"","CaSlAugopen12",51,3
"121",247,"CaSl","Aug","pitfall","open",14,"open2",NA,NA,NA,11,0,0,0,89,100,1,"grass",TRUE,"","CaSlAugopen2",8,2
"122",248,"CaSl","Aug","pitfall","open",15,"open3",NA,NA,NA,70,4,0,0,26,100,6,"grass",TRUE,"","CaSlAugopen3",34,2
"123",249,"CaSl","Aug","pitfall","open",16,"open4",NA,NA,NA,99,0,1,0,0,100,67,"grass",TRUE,"","CaSlAugopen4",17,2
"124",250,"CaSl","Aug","pitfall","open",17,"open5",NA,NA,NA,50,0,0,0,50,100,11,"grass",TRUE,"","CaSlAugopen5",19,2
"125",251,"CaSl","Aug","pitfall","open",18,"open6",NA,NA,NA,40,0,0,0,60,100,10,"herb",TRUE,"","CaSlAugopen6",34,1
"126",252,"CaSl","Aug","pitfall","open",19,"open7",NA,NA,NA,95,0,0,0,5,100,2,"grass",TRUE,"","CaSlAugopen7",49,2
"127",253,"CaSl","Aug","pitfall","open",20,"open8",NA,NA,NA,80,0,6,0,14,100,8,"grass",TRUE,"","CaSlAugopen8",10,3
"128",254,"CaSl","Aug","pitfall","open",21,"open9",NA,NA,NA,75,0,0,0,25,100,4,"grass",TRUE,"","CaSlAugopen9",80,1
"129",234,"CaSl","Aug","pitfall","open",1,"shrub1",NA,NA,NA,92,0,0,0,8,100,13,"herb",TRUE,"","CaSlAugshrub1",22,1
"130",243,"CaSl","Aug","pitfall","open",10,"shrub10",NA,NA,NA,94,0,0,1,5,100,3,"grass",TRUE,"","CaSlAugshrub10",5,1
"131",244,"CaSl","Aug","pitfall","open",11,"shrub11",NA,NA,NA,95,0,0,0,5,100,66,"grass",TRUE,"","CaSlAugshrub11",16,2
"132",245,"CaSl","Aug","pitfall","open",12,"shrub12",NA,NA,NA,99,0,1,0,0,100,44,"grass",TRUE,"","CaSlAugshrub12",52,3
"133",235,"CaSl","Aug","pitfall","open",2,"shrub2",NA,NA,NA,82,3,0,0,15,100,22,"grass",TRUE,"","CaSlAugshrub2",23,3
"134",236,"CaSl","Aug","pitfall","open",3,"shrub3",NA,NA,NA,95,0,2,0,3,100,8,"grass",TRUE,"","CaSlAugshrub3",55,2
"135",237,"CaSl","Aug","pitfall","open",4,"shrub4",NA,NA,NA,49,0,0,0,51,100,15,"grass",TRUE,"","CaSlAugshrub4",79,2
"136",238,"CaSl","Aug","pitfall","open",5,"shrub5",NA,NA,NA,2,0,0,0,98,100,1,"grass",TRUE,"","CaSlAugshrub5",44,2
"137",239,"CaSl","Aug","pitfall","open",6,"shrub6",NA,NA,NA,90,0,0,0,10,100,12,"grass",TRUE,"","CaSlAugshrub6",22,2
"138",240,"CaSl","Aug","pitfall","open",7,"shrub7",NA,NA,NA,15,0,0,0,85,100,3,"grass",TRUE,"","CaSlAugshrub7",10,3
"139",241,"CaSl","Aug","pitfall","open",8,"shrub8",NA,NA,NA,60,0,1,0,39,100,6,"grass",TRUE,"","CaSlAugshrub8",523,3
"140",242,"CaSl","Aug","pitfall","open",9,"shrub9",NA,NA,NA,59,0,0,1,40,100,7,"grass",TRUE,"","CaSlAugshrub9",138,1
"141",36,"CaSl","July","pitfall","open",13,"open1",NA,NA,NA,80,0,0,0,20,100,13,"grass",TRUE,"","CaSlJulyopen1",70,3
"142",44,"CaSl","July","pitfall","open",23,"open11",NA,NA,NA,40,0,1,1,58,100,6,"Grass",TRUE,"","CaSlJulyopen11",6,2
"143",45,"CaSl","July","pitfall","open",24,"open12",NA,NA,NA,50,0,0,0,50,100,5,"Grass",TRUE,"","CaSlJulyopen12",4,3
"144",37,"CaSl","July","pitfall","open",14,"open2",NA,NA,NA,5,0,0,1,94,100,8,"grass",TRUE,"","CaSlJulyopen2",66,3
"145",38,"CaSl","July","pitfall","open",15,"open3",NA,NA,NA,95,0,0,0,5,100,8,"grass",TRUE,"","CaSlJulyopen3",17,2
"146",39,"CaSl","July","pitfall","open",16,"open4",NA,NA,NA,25,0,0,0,75,100,12,"grass",TRUE,"","CaSlJulyopen4",13,4
"147",41,"CaSl","July","pitfall","open",18,"open6",NA,NA,NA,100,0,0,0,0,100,7,"grass",TRUE,"","CaSlJulyopen6",42,3
"148",42,"CaSl","July","pitfall","open",19,"open7",NA,NA,NA,30,2,0,1,67,100,4,"grass",TRUE,"","CaSlJulyopen7",35,4
"149",43,"CaSl","July","pitfall","open",21,"open9",NA,NA,NA,70,0,0,0,30,100,2,"grass",TRUE,"","CaSlJulyopen9",26,4
"150",24,"CaSl","July","pitfall","open",1,"shrub1",NA,NA,NA,30,0,0,1,69,100,9,"grass",TRUE,"","CaSlJulyshrub1",25,3
"151",33,"CaSl","July","pitfall","open",10,"shrub10",NA,NA,NA,89,0,0,1,10,100,6,"grass",TRUE,"","CaSlJulyshrub10",10,3
"152",34,"CaSl","July","pitfall","open",11,"shrub11",NA,NA,NA,72,3,0,0,25,100,9,"grass",TRUE,"","CaSlJulyshrub11",95,3
"153",35,"CaSl","July","pitfall","open",12,"shrub12",NA,NA,NA,0,6,0,1,93,100,7,"grass",TRUE,"","CaSlJulyshrub12",367,2
"154",25,"CaSl","July","pitfall","open",2,"shrub2",NA,NA,NA,10,0,0,0,90,100,7,"grass",TRUE,"","CaSlJulyshrub2",33,5
"155",26,"CaSl","July","pitfall","open",3,"shrub3",NA,NA,NA,10,0,0,1,89,100,7,"grass",TRUE,"","CaSlJulyshrub3",15,5
"156",27,"CaSl","July","pitfall","open",4,"shrub4",NA,NA,NA,6,0,0,5,89,100,4,"grass",TRUE,"","CaSlJulyshrub4",8,3
"157",28,"CaSl","July","pitfall","open",5,"shrub5",NA,NA,NA,60,0,0,0,40,100,5,"grass",TRUE,"","CaSlJulyshrub5",24,4
"158",29,"CaSl","July","pitfall","open",6,"shrub6",NA,NA,NA,25,0,0,1,74,100,7,"grass",TRUE,"","CaSlJulyshrub6",37,4
"159",30,"CaSl","July","pitfall","open",7,"shrub7",NA,NA,NA,25,0,0,1,74,100,10,"grass",TRUE,"","CaSlJulyshrub7",18,6
"160",31,"CaSl","July","pitfall","open",8,"shrub8",NA,NA,NA,5,0,0,1,94,100,9,"grass",TRUE,"","CaSlJulyshrub8",14,2
"161",32,"CaSl","July","pitfall","open",9,"shrub9",NA,NA,NA,96,0,3,1,0,100,13,"grass",TRUE,"","CaSlJulyshrub9",8,3
"162",450,"CaSl","Sept","pitfall","open",13,"open1",NA,NA,NA,2,0,1,20,77,100,3,"grass",TRUE,"","CaSlSeptopen1",4,1
"163",459,"CaSl","Sept","pitfall","open",22,"open10",NA,NA,NA,30,0,15,2,53,100,27,"grass",TRUE,"","CaSlSeptopen10",9,1
"165",461,"CaSl","Sept","pitfall","open",24,"open12",NA,NA,NA,20,0,35,1,44,100,11,"grass",TRUE,"","CaSlSeptopen12",14,1
"169",454,"CaSl","Sept","pitfall","open",17,"open5",NA,NA,NA,37,0,10,8,45,100,28,"grass",TRUE,"","CaSlSeptopen5",2,1
"170",455,"CaSl","Sept","pitfall","open",18,"open6",NA,NA,NA,60,0,5,2,33,100,32,"grass",TRUE,"","CaSlSeptopen6",42,1
"172",457,"CaSl","Sept","pitfall","open",20,"open8",NA,NA,NA,20,0,52,5,23,100,20,"grass",TRUE,"","CaSlSeptopen8",1,1
"173",458,"CaSl","Sept","pitfall","open",21,"open9",NA,NA,NA,48,0,15,4,33,100,10,"grass",TRUE,"","CaSlSeptopen9",6,1
"174",438,"CaSl","Sept","pitfall","open",1,"shrub1",NA,NA,NA,63,0,7,5,25,100,19,"grass",TRUE,"","CaSlSeptshrub1",2,1
"175",447,"CaSl","Sept","pitfall","open",10,"shrub10",NA,NA,NA,70,0,25,0,5,100,21,"grass",TRUE,"","CaSlSeptshrub10",138,1
"176",448,"CaSl","Sept","pitfall","open",11,"shrub11",NA,NA,NA,49,0,10,1,40,100,18,"herb",TRUE,"","CaSlSeptshrub11",2,2
"179",440,"CaSl","Sept","pitfall","open",3,"shrub3",NA,NA,NA,15,0,30,20,35,100,3,"grass",TRUE,"","CaSlSeptshrub3",3,1
"180",441,"CaSl","Sept","pitfall","open",4,"shrub4",NA,NA,NA,2,0,35,35,28,100,5,"grass",TRUE,"","CaSlSeptshrub4",12,1
"182",443,"CaSl","Sept","pitfall","open",6,"shrub6",NA,NA,NA,45,0,20,15,20,100,27,"herb",TRUE,"","CaSlSeptshrub6",26,2
"183",444,"CaSl","Sept","pitfall","open",7,"shrub7",NA,NA,NA,40,0,4,6,50,100,16,"grass",TRUE,"","CaSlSeptshrub7",2,1
"185",446,"CaSl","Sept","pitfall","open",9,"shrub9",NA,NA,NA,0,0,25,10,65,100,NA,NA,NA,"","CaSlSeptshrub9",2,1
"186",426,"CaS","Sept","pitfall","open",1,"open1",NA,NA,NA,20,0,2,20,58,100,8,"herb",TRUE,"","CaSSeptopen1",6,3
"187",435,"CaS","Sept","pitfall","open",10,"open10",NA,NA,NA,10,0,32,29,29,100,6,"grass",TRUE,"","CaSSeptopen10",2,2
"188",436,"CaS","Sept","pitfall","open",11,"open11",NA,NA,NA,35,0,4,45,16,100,14,"grass",TRUE,"","CaSSeptopen11",82,3
"189",437,"CaS","Sept","pitfall","open",12,"open12",NA,NA,NA,47,0,7,6,40,100,14,"herb",TRUE,"","CaSSeptopen12",95,2
"190",427,"CaS","Sept","pitfall","open",2,"open2",NA,NA,NA,10,0,3,7,80,100,11,"grass",TRUE,"","CaSSeptopen2",19,2
"191",428,"CaS","Sept","pitfall","open",3,"open3",NA,NA,NA,50,0,10,9,31,100,12,"grass",TRUE,"","CaSSeptopen3",48,4
"192",429,"CaS","Sept","pitfall","open",4,"open4",NA,NA,NA,20,0,3,17,60,100,9,"herb",TRUE,"","CaSSeptopen4",38,4
"193",430,"CaS","Sept","pitfall","open",5,"open5",NA,NA,NA,18,0,4,13,65,100,17,"herb",TRUE,"","CaSSeptopen5",17,3
"194",431,"CaS","Sept","pitfall","open",6,"open6",NA,NA,NA,24,0,6,55,15,100,5,"herb",TRUE,"","CaSSeptopen6",11,2
"195",432,"CaS","Sept","pitfall","open",7,"open7",NA,NA,NA,22,0,0,25,53,100,7,"grass",TRUE,"","CaSSeptopen7",11,2
"196",433,"CaS","Sept","pitfall","open",8,"open8",NA,NA,NA,27,0,2,10,61,100,6,"herb",TRUE,"","CaSSeptopen8",4,2
"197",434,"CaS","Sept","pitfall","open",9,"open9",NA,NA,NA,23,0,1,32,44,100,9,"grass",TRUE,"","CaSSeptopen9",28,1
"198",414,"CaS","Sept","pitfall","shrub",1,"shrub1",280,200,110,50,0,6,2,42,100,22,"grass",TRUE,"","CaSSeptshrub1",4,2
"199",423,"CaS","Sept","pitfall","shrub",10,"shrub10",300,290,110,22,0,4,12,62,100,12,"grass",TRUE,"","CaSSeptshrub10",9,2
"200",424,"CaS","Sept","pitfall","shrub",11,"shrub11",440,400,180,42,0,3,12,43,100,9,"grass",TRUE,"","CaSSeptshrub11",47,3
"201",425,"CaS","Sept","pitfall","shrub",12,"shrub12",360,340,90,65,0,25,4,6,100,21,"grass",TRUE,"","CaSSeptshrub12",20,1
"202",415,"CaS","Sept","pitfall","shrub",2,"shrub2",490,370,160,94,0,5,1,0,100,19,"grass",TRUE,"3 shrub cluster","CaSSeptshrub2",45,2
"203",416,"CaS","Sept","pitfall","shrub",3,"shrub3",260,190,100,46,0,3,5,46,100,15,"grass",TRUE,"","CaSSeptshrub3",155,1
"204",417,"CaS","Sept","pitfall","shrub",4,"shrub4",380,240,150,78,0,15,2,5,100,10,"grass",TRUE,"","CaSSeptshrub4",62,4
"205",418,"CaS","Sept","pitfall","shrub",5,"shrub5",160,130,120,35,0,15,35,15,100,12,"grass",TRUE,"","CaSSeptshrub5",179,3
"206",419,"CaS","Sept","pitfall","shrub",6,"shrub6",380,330,150,40,0,45,15,0,100,28,"grass",TRUE,"","CaSSeptshrub6",25,2
