FID,ele,time,name,layer,path,month,site,Lat,Long,NDVI,SBIO1_05,SBIO1_515,SBIO2_515,SBIO2_05,SBIO7_05,SBIO7__515
10,180.519409,50:48.0,MAL,Waypoints_03-AUG-20 waypoints,D:\Research\Projects\prey_item_survey\GPX Waypoints\Waypoints_03-AUG-20.gpx|layername=waypoints,Aug,Lok,35.354,-119.584,2164,20.7000008,20.5,5.6999998,13.5,35.9000015,22
18,180.546188,39:42.0,MAL,Waypoints_14-JUL-20 waypoints,D:\Research\Projects\prey_item_survey\GPX Waypoints\Waypoints_14-JUL-20.gpx|layername=waypoints,Sept,Lok,35.354,-119.584,2090,20.7000008,20.5,5.6999998,13.5,35.9000015,22
3,200.863251,41:06.0,MAL,Waypoints_12-SEP-20 waypoints,D:\Research\Projects\prey_item_survey\GPX Waypoints\Sept GPS Waypoints\Sept GPS Waypoints\Waypoints_12-SEP-20.gpx|layername=waypoints,July,MoV,36.561,-120.548,2280,18.7000008,17.5,5.1999998,13.6999998,35.2000008,20.6000004
17,190.841324,38:12.0,MAL,Waypoints_13-AUG-20 waypoints,D:\Research\Projects\prey_item_survey\GPX Waypoints\Waypoints_13-AUG-20.gpx|layername=waypoints,Aug,MoV,36.562,-120.545,2280,18.7000008,17.5,5.1999998,13.6999998,35.2000008,20.6000004
24,192.932449,00:15.0,MAL,Waypoints_28-JUL-20 waypoints,D:\Research\Projects\prey_item_survey\GPX Waypoints\Waypoints_28-JUL-20.gpx|layername=waypoints,Sept,MoV,36.563,-120.547,2651,18.7000008,17.5,5.1999998,13.6999998,35.2000008,20.6000004
1,645.623962,22:36.0,MAL,Waypoints_10-SEP-20 waypoints,D:\Research\Projects\prey_item_survey\GPX Waypoints\Sept GPS Waypoints\Sept GPS Waypoints\Waypoints_10-SEP-20.gpx|layername=waypoints,July,PaPl,36.7,-120.801,2558,15.1000004,13.8999996,5.3000002,13.6000004,34.5999985,20.7999992
16,657.464905,50:20.0,MAL,Waypoints_12-AUG-20 waypoints,D:\Research\Projects\prey_item_survey\GPX Waypoints\Waypoints_12-AUG-20.gpx|layername=waypoints,Aug,PaPl,36.696,-120.795,2522,15,13.8999996,5.6999998,13.6999998,34.4000015,21.5
23,657.201904,52:34.0,MAL,Waypoints_23-JUL-20 waypoints,D:\Research\Projects\prey_item_survey\GPX Waypoints\Waypoints_23-JUL-20.gpx|layername=waypoints,Sept,PaPl,36.698,-120.799,2124,15,13.8999996,5.6999998,13.6999998,34.4000015,21.5
7,65.745949,26:21.0,MAL,Waypoints_24-SEP-20 waypoints,D:\Research\Projects\prey_item_survey\GPX Waypoints\Sept GPS Waypoints\Sept GPS Waypoints\Waypoints_24-SEP-20.gpx|layername=waypoints,July,SemiT,35.658,-119.61,2359,21.3999996,20.6000004,5.5999999,13.6999998,36.5,23.2000008
11,71.121178,34:52.0,MAL,Waypoints_06-AUG-20 waypoints,D:\Research\Projects\prey_item_survey\GPX Waypoints\Waypoints_06-AUG-20.gpx|layername=waypoints,Aug,SemiT,35.658,-119.612,2332,21.3999996,20.6000004,5.5999999,13.6999998,36.5,23.2000008
19,70.179779,36:32.0,MAL,Waypoints_15-JUL-20 waypoints,D:\Research\Projects\prey_item_survey\GPX Waypoints\Waypoints_15-JUL-20.gpx|layername=waypoints,Sept,SemiT,35.658,-119.612,2878,21.3999996,20.6000004,5.5999999,13.6999998,36.5,23.2000008
2,233.307159,02:45.0,MAL,Waypoints_12-SEP-20 waypoints,D:\Research\Projects\prey_item_survey\GPX Waypoints\Sept GPS Waypoints\Sept GPS Waypoints\Waypoints_12-SEP-20.gpx|layername=waypoints,July,SiCr,36.586,-120.688,2417,18.5,17.3999996,5.0999999,13.6999998,35.0999985,20.3999996
15,208.702087,00:27.0,MAL,Waypoints_12-AUG-20 waypoints,D:\Research\Projects\prey_item_survey\GPX Waypoints\Waypoints_12-AUG-20.gpx|layername=waypoints,Aug,SiCr,36.586,-120.686,2217,18.5,17.3999996,5.0999999,13.6999998,35.0999985,20.3999996
21,211.967056,05:53.0,MAL,Waypoints_20-JUL-20 waypoints,D:\Research\Projects\prey_item_survey\GPX Waypoints\Waypoints_20-JUL-20.gpx|layername=waypoints,Sept,SiCr,36.586,-120.687,1581,18.5,17.3999996,5.0999999,13.6999998,35.0999985,20.3999996
