Site,month,Method,Microsite,Rep,field micro,shrub.x,shrub.y,shrub.z,dry.veg.percent,green.veg.percent,woody.debris.percent,rocks.percent,bare.ground.percent,sum_percent,veg. height,dominant type,dried?,notes
CaS,July,pitfall,open,10,,,,,0,0,1,2,97,100,0,grass,TRUE,
CaS,July,pitfall,open,11,,,,,1,0,2,1,96,100,5,grass,TRUE,
CaS,July,pitfall,open,12,,,,,3,0,0,2,95,100,3,grass,TRUE,
CaSl,July,pitfall,open,1,shrub1,,,,30,0,0,1,69,100,9,grass,TRUE,
CaSl,July,pitfall,open,2,shrub2,,,,10,0,0,0,90,100,7,grass,TRUE,
CaSl,July,pitfall,open,3,shrub3,,,,10,0,0,1,89,100,7,grass,TRUE,
CaSl,July,pitfall,open,4,shrub4,,,,6,0,0,5,89,100,4,grass,TRUE,
CaSl,July,pitfall,open,5,shrub5,,,,60,0,0,0,40,100,5,grass,TRUE,
CaSl,July,pitfall,open,6,shrub6,,,,25,0,0,1,74,100,7,grass,TRUE,
CaSl,July,pitfall,open,7,shrub7,,,,25,0,0,1,74,100,10,grass,TRUE,
CaSl,July,pitfall,open,8,shrub8,,,,5,0,0,1,94,100,9,grass,TRUE,
CaSl,July,pitfall,open,9,shrub9,,,,96,0,3,1,0,100,13,grass,TRUE,
CaSl,July,pitfall,open,10,shrub10,,,,89,0,0,1,10,100,6,grass,TRUE,
CaSl,July,pitfall,open,11,shrub11,,,,72,3,0,0,25,100,9,grass,TRUE,
CaSl,July,pitfall,open,12,shrub12,,,,0,6,0,1,93,100,7,grass,TRUE,
CaSl,July,pitfall,open,13,open1,,,,80,0,0,0,20,100,13,grass,TRUE,
CaSl,July,pitfall,open,14,open2,,,,5,0,0,1,94,100,8,grass,TRUE,
CaSl,July,pitfall,open,15,open3,,,,95,0,0,0,5,100,8,grass,TRUE,
CaSl,July,pitfall,open,16,open4,,,,25,0,0,0,75,100,12,grass,TRUE,
CaSl,July,pitfall,open,17,open5,,,,60,0,0,0,40,100,16,grass,TRUE,
CaSl,July,pitfall,open,18,open6,,,,100,0,0,0,0,100,7,grass,TRUE,
CaSl,July,pitfall,open,19,open7,,,,30,2,0,1,67,100,4,grass,TRUE,
CaSl,July,pitfall,open,20,open8,,,,10,1,0,0,89,100,3,grass,TRUE,
CaSl,July,pitfall,open,21,open9,,,,70,0,0,0,30,100,2,grass,TRUE,
CaSl,July,pitfall,open,22,open10,,,,55,5,1,1,38,100,9,grass,TRUE,
CaSl,July,pitfall,open,23,open11,,,,40,0,1,1,58,100,6,Grass,TRUE,
CaSl,July,pitfall,open,24,open12,,,,50,0,0,0,50,100,5,Grass,TRUE,
Lok,July,pitfall,shrub,1,,200,190,100,25,0,0,1,74,100,10,Grass,TRUE,
Lok,July,pitfall,shrub,2,,310,190,115,95,0,5,0,0,100,30,Grass,TRUE,
Lok,July,pitfall,shrub,3,,290,280,125,70,0,0,0,30,100,10,Grass,TRUE,
Lok,July,pitfall,shrub,4,,110,105,85,70,0,15,0,15,100,23,Grass,TRUE,
Lok,July,pitfall,shrub,5,,140,135,120,35,0,0,0,65,100,13,Grass,TRUE,
Lok,July,pitfall,shrub,6,,200,175,115,89,0,5,1,5,100,16,Grass,TRUE,
Lok,July,pitfall,shrub,7,,160,140,85,13,0,2,0,85,100,29,Grass,TRUE,
Lok,July,pitfall,shrub,8,,230,150,110,90,0,1,0,9,100,17,Grass,TRUE,
Lok,July,pitfall,shrub,9,,310,210,130,94,0,1,0,5,100,27,Grass,TRUE,
Lok,July,pitfall,shrub,10,,180,140,100,45,0,0,3,52,100,14,Grass,TRUE,
Lok,July,pitfall,shrub,11,,220,170,120,15,0,0,5,80,100,18,Grass,TRUE,
Lok,July,pitfall,shrub,12,,770,670,160,100,0,0,0,0,100,23,Grass,TRUE,
Lok,July,pitfall,open,1,,,,,4,2,0,0,94,100,4,Grass,TRUE,
Lok,July,pitfall,open,2,,,,,20,25,0,0,55,100,12,Grass,TRUE,
Lok,July,pitfall,open,3,,,,,3,10,0,0,87,100,13,herb,TRUE,
Lok,July,pitfall,open,4,,,,,8,2,0,0,90,100,13,Grass,TRUE,
Lok,July,pitfall,open,5,,,,,1,0,0,1,98,100,1,Grass,TRUE,
Lok,July,pitfall,open,6,,,,,4,0,3,1,92,100,12,Grass,TRUE,
Lok,July,pitfall,open,7,,,,,3,0,0,1,96,100,7,Grass,TRUE,
Lok,July,pitfall,open,8,,,,,5,0,40,0,55,100,10,Grass,TRUE,
Lok,July,pitfall,open,9,,,,,3,0,0,1,96,100,5,Grass,TRUE,
Lok,July,pitfall,open,10,,,,,65,0,0,0,35,100,14,herb,TRUE,
Lok,July,pitfall,open,11,,,,,20,4,0,1,75,100,18,grass,TRUE,
Lok,July,pitfall,open,12,,,,,25,0,0,1,74,100,10,grass,TRUE,
SemiT,July,pitfall,shrub,1,,195,180,110,85,0,0,0,15,100,7,herb,TRUE,
SemiT,July,pitfall,shrub,2,,240,190,90,50,0,0,0,50,100,25,grass,TRUE,
SemiT,July,pitfall,shrub,3,,155,155,80,20,0,0,0,80,100,4,herb,TRUE,
SemiT,July,pitfall,shrub,4,,140,90,105,25,0,0,0,75,100,12,herb,TRUE,
SemiT,July,pitfall,shrub,5,,220,200,225,0,0,0,0,100,100,0,NA,TRUE,
SemiT,July,pitfall,shrub,6,,145,140,80,50,0,0,0,50,100,14,grass,TRUE,
SemiT,July,pitfall,shrub,7,,205,195,105,10,0,0,0,90,100,10,herb,TRUE,
SemiT,July,pitfall,shrub,8,,325,220,100,94,0,1,0,5,100,18,grass,TRUE,
SemiT,July,pitfall,shrub,9,,410,220,100,100,0,0,0,0,100,10,grass,TRUE,
SemiT,July,pitfall,shrub,10,,220,180,120,100,0,0,0,0,100,16,grass,TRUE,
SemiT,July,pitfall,shrub,11,,380,370,90,100,0,0,0,0,100,24,grass,TRUE,
SemiT,July,pitfall,shrub,12,,180,130,95,100,0,0,0,0,100,20,grass,TRUE,
SemiT,July,pitfall,open,1,,,,,100,0,0,0,0,100,10,herb,TRUE,
SemiT,July,pitfall,open,2,,,,,1,0,0,0,99,100,8,herb,TRUE,
SemiT,July,pitfall,open,3,,,,,100,0,0,0,0,100,10,herb,TRUE,
SemiT,July,pitfall,open,4,,,,,6,0,0,0,94,100,6,herb,TRUE,
SemiT,July,pitfall,open,5,,,,,40,0,0,0,60,100,1,herb,TRUE,
SemiT,July,pitfall,open,6,,,,,20,0,0,0,80,100,10,herb,TRUE,
SemiT,July,pitfall,open,7,,,,,15,0,0,0,85,100,9,herb,TRUE,
SemiT,July,pitfall,open,8,,,,,0,0,0,0,100,100,0,herb,TRUE,
SemiT,July,pitfall,open,9,,,,,98,0,0,0,2,100,7,herb,TRUE,
SemiT,July,pitfall,open,10,,,,,94,0,1,0,5,100,16,herb,TRUE,
SemiT,July,pitfall,open,11,,,,,20,0,0,0,80,100,13,herb,TRUE,
SemiT,July,pitfall,open,12,,,,,80,0,0,0,20,100,18,herb,TRUE,
Coal,July,pitfall,open,1,shrub1,,,,98,2,0,0,0,100,14,grass,TRUE,
Coal,July,pitfall,open,2,shrub2,,,,100,0,0,0,0,100,26,grass,TRUE,
Coal,July,pitfall,open,3,shrub3,,,,97,3,0,0,0,100,5,grass,TRUE,
Coal,July,pitfall,open,4,shrub4,,,,5,1,0,1,93,100,11,grass,TRUE,
Coal,July,pitfall,open,5,shrub5,,,,97,3,0,0,0,100,27,grass,TRUE,
Coal,July,pitfall,open,6,shrub6,,,,67,1,1,1,30,100,17,herb,TRUE,
Coal,July,pitfall,open,7,shrub7,,,,94,2,1,0,3,100,27,grass,TRUE,
Coal,July,pitfall,open,8,shrub8,,,,8,3,0,1,88,100,5,grass,TRUE,
Coal,July,pitfall,open,9,shrub9,,,,90,0,10,0,0,100,20,grass,TRUE,
Coal,July,pitfall,open,10,shrub10,,,,3,2,1,0,94,100,5,grass,TRUE,
Coal,July,pitfall,open,11,shrub11,,,,49,2,0,0,49,100,10,grass,TRUE,
Coal,July,pitfall,open,12,shrub12,,,,96,1,0,0,3,100,14,grass,TRUE,
Coal,July,pitfall,open,13,open1,,,,90,10,0,0,0,100,13,grass,TRUE,
Coal,July,pitfall,open,14,open2,,,,98,1,0,0,1,100,12,grass,TRUE,
Coal,July,pitfall,open,15,open3,,,,98,2,0,0,0,100,5,grass,TRUE,
Coal,July,pitfall,open,16,open4,,,,5,5,0,0,90,100,10,herb,TRUE,
Coal,July,pitfall,open,17,open5,,,,85,15,0,0,0,100,12,grass,TRUE,
Coal,July,pitfall,open,18,open6,,,,90,10,0,0,0,100,15,grass,TRUE,
Coal,July,pitfall,open,19,open7,,,,97,1,1,0,1,100,22,grass,TRUE,
Coal,July,pitfall,open,20,open8,,,,98,2,0,0,0,100,8,grass,TRUE,
Coal,July,pitfall,open,21,open9,,,,98,1,0,0,1,100,14,grass,TRUE,
Coal,July,pitfall,open,22,open10,,,,99,1,0,0,0,100,5,grass,TRUE,
Coal,July,pitfall,open,23,open11,,,,100,0,0,0,0,100,12,grass,TRUE,
Coal,July,pitfall,open,24,open12,,,,91,8,0,0,1,100,9,grass,TRUE,
Aven,July,pitfall,shrub,1,,180,110,80,30,0,15,0,55,100,42,grass,TRUE,lots of burrows
Aven,July,pitfall,shrub,2,,270,140,135,50,0,1,0,49,100,18,grass,TRUE,
Aven,July,pitfall,shrub,3,,120,65,110,99,0,1,0,0,100,36,grass,TRUE,
Aven,July,pitfall,shrub,4,,170,90,90,25,0,0,0,75,100,25,grass,TRUE,
Aven,July,pitfall,shrub,5,,130,65,115,98,0,0,0,2,100,18,grass,TRUE,
Aven,July,pitfall,shrub,6,,160,150,85,100,0,0,0,0,100,38,grass,TRUE,
Aven,July,pitfall,shrub,7,,255,240,110,3,0,4,0,93,100,10,grass,TRUE,small amount of broken glass
Aven,July,pitfall,shrub,8,,165,150,140,3,0,2,1,94,100,5,grass,TRUE,
Aven,July,pitfall,shrub,9,,125,105,125,96,0,3,0,1,100,37,grass,TRUE,
Aven,July,pitfall,shrub,10,,140,95,105,99,0,1,0,0,100,19,grass,TRUE,
Aven,July,pitfall,shrub,11,,200,125,125,10,0,0,8,82,100,7,grass,TRUE,
Aven,July,pitfall,shrub,12,,70,55,90,95,0,0,0,5,100,21,grass,TRUE,
Aven,July,pitfall,open,1,,,,,100,0,0,0,0,100,32,grass,TRUE,
Aven,July,pitfall,open,2,,,,,100,0,0,0,0,100,23,grass,TRUE,
Aven,July,pitfall,open,3,,,,,65,0,0,0,35,100,34,grass,TRUE,
Aven,July,pitfall,open,4,,,,,2,0,2,0,96,100,5,grass,TRUE,
Aven,July,pitfall,open,5,,,,,73,0,12,0,15,100,19,grass,TRUE,
Aven,July,pitfall,open,6,,,,,2,0,0,0,98,100,6,grass,TRUE,
Aven,July,pitfall,open,7,,,,,0,0,12,0,88,100,0,grass,TRUE,
Aven,July,pitfall,open,8,,,,,0,0,1,1,98,100,0,grass,TRUE,
Aven,July,pitfall,open,9,,,,,96,0,4,0,0,100,32,grass,TRUE,
Aven,July,pitfall,open,10,,,,,93,0,2,0,5,100,25,grass,TRUE,
Aven,July,pitfall,open,11,,,,,3,0,0,1,96,100,10,grass,TRUE,
Aven,July,pitfall,open,12,,,,,99,0,0,0,1,100,13,grass,TRUE,
SiCr,July,pitfall,shrub,1,,220,130,130,85,0,0,0,15,100,25,grass,TRUE,
SiCr,July,pitfall,shrub,2,,135,100,110,63,0,0,2,35,100,16,grass,TRUE,
SiCr,July,pitfall,shrub,3,,210,190,120,80,0,0,0,20,100,24,grass,TRUE,
SiCr,July,pitfall,shrub,4,,250,210,135,99,0,0,0,1,100,23,grass,TRUE,
SiCr,July,pitfall,shrub,5,,300,275,155,12,0,0,0,88,100,12,grass,TRUE,
SiCr,July,pitfall,shrub,6,,200,200,100,100,0,0,0,0,100,28,grass,TRUE,
SiCr,July,pitfall,shrub,7,,420,380,190,100,0,0,0,0,100,18,grass,TRUE,
SiCr,July,pitfall,shrub,8,,180,155,120,94,0,0,1,5,100,11,grass,TRUE,
SiCr,July,pitfall,shrub,9,,370,350,155,99,0,1,0,0,100,29,grass,TRUE,
SiCr,July,pitfall,shrub,10,,95,105,70,100,0,0,0,0,100,26,grass,TRUE,
SiCr,July,pitfall,shrub,11,,150,100,95,100,0,0,0,0,100,40,grass,TRUE,
SiCr,July,pitfall,shrub,12,,300,210,155,50,0,50,0,0,100,20,grass,TRUE,
SiCr,July,pitfall,open,1,,,,,100,0,0,0,0,100,26,grass,TRUE,
SiCr,July,pitfall,open,2,,,,,5,1,0,0,94,100,7,grass,TRUE,
SiCr,July,pitfall,open,3,,,,,0,0,0,0,100,100,0,NA,NA,
SiCr,July,pitfall,open,4,,,,,50,0,0,0,50,100,13,herb,TRUE,
SiCr,July,pitfall,open,5,,,,,0,0,5,0,95,100,NA,NA,NA,
SiCr,July,pitfall,open,6,,,,,100,0,0,0,0,100,28,grass,TRUE,
SiCr,July,pitfall,open,7,,,,,50,0,1,0,49,100,1,grass,TRUE,
SiCr,July,pitfall,open,8,,,,,99,0,0,0,1,100,28,herb,TRUE,
SiCr,July,pitfall,open,9,,,,,100,0,0,0,0,100,38,grass,TRUE,
SiCr,July,pitfall,open,10,,,,,99,0,0,0,1,100,3,herb,TRUE,
SiCr,July,pitfall,open,11,,,,,100,0,0,0,0,100,23,grass,TRUE,
SiCr,July,pitfall,open,12,,,,,100,0,0,0,0,100,37,grass,TRUE,
PaPl,July,pitfall,shrub,1,,420,385,175,100,0,0,0,0,100,36,grass,TRUE,
PaPl,July,pitfall,shrub,2,,260,245,90,95,0,0,0,5,100,34,grass,TRUE,
PaPl,July,pitfall,shrub,3,,215,150,95,100,0,0,0,0,100,28,grass,TRUE,
PaPl,July,pitfall,shrub,4,,270,250,120,98,0,0,0,2,100,50,grass,TRUE,burrow
PaPl,July,pitfall,shrub,5,,485,400,175,100,0,0,0,0,100,15,grass,TRUE,
PaPl,July,pitfall,shrub,6,,300,275,130,100,0,0,0,0,100,25,grass,TRUE,
PaPl,July,pitfall,shrub,7,,275,165,195,100,0,0,0,0,100,34,grass,TRUE,
PaPl,July,pitfall,shrub,8,,240,190,115,95,0,0,0,5,100,28,grass,TRUE,
PaPl,July,pitfall,shrub,9,,310,300,105,100,0,0,0,0,100,33,grass,TRUE,
PaPl,July,pitfall,shrub,10,,370,300,160,100,0,0,0,0,100,20,grass,TRUE,
PaPl,July,pitfall,shrub,11,,310,240,115,100,0,0,0,0,100,34,grass,TRUE,
PaPl,July,pitfall,shrub,12,,380,340,135,100,0,0,0,0,100,24,grass,TRUE,
PaPl,July,pitfall,open,1,,,,,85,0,0,0,15,100,5,herd,TRUE,
PaPl,July,pitfall,open,2,,,,,90,0,0,0,10,100,19,grass,TRUE,
PaPl,July,pitfall,open,3,,,,,94,1,0,0,5,100,12,grass,TRUE,
PaPl,July,pitfall,open,4,,,,,97,0,0,0,3,100,12,grass,TRUE,
PaPl,July,pitfall,open,5,,,,,100,0,0,0,0,100,16,grass,TRUE,
PaPl,July,pitfall,open,6,,,,,96,0,0,1,3,100,13,grass,TRUE,
PaPl,July,pitfall,open,7,,,,,100,0,0,0,0,100,29,grass,TRUE,
PaPl,July,pitfall,open,8,,,,,98,0,0,1,1,100,9,grass,TRUE,
PaPl,July,pitfall,open,9,,,,,99,0,0,1,0,100,20,grass,TRUE,
PaPl,July,pitfall,open,10,,,,,99,0,0,1,0,100,21,grass,TRUE,
PaPl,July,pitfall,open,11,,,,,97,0,0,0,3,100,10,grass,TRUE,
PaPl,July,pitfall,open,12,,,,,99,0,0,1,0,100,16,grass,TRUE,
Mov,July,pitfall,open,1,shrub1,,,,80,0,0,0,20,100,13,herb,TRUE,
Mov,July,pitfall,open,2,shrub2,,,,50,0,0,0,50,100,16,grass,TRUE,
Mov,July,pitfall,open,3,shrub3,,,,96,2,0,0,2,100,12,herb,TRUE,
Mov,July,pitfall,open,4,shrub4,,,,91,4,0,0,5,100,6,grass,TRUE,
Mov,July,pitfall,open,5,shrub5,,,,87,2,0,1,10,100,6,grass,TRUE,
Mov,July,pitfall,open,6,shrub6,,,,78,2,0,0,20,100,2,herb,TRUE,
Mov,July,pitfall,open,7,shrub7,,,,85,5,0,0,10,100,7,grass,TRUE,
Mov,July,pitfall,open,8,shrub8,,,,90,0,0,0,10,100,4,grass,TRUE,
Mov,July,pitfall,open,9,shrub9,,,,65,5,0,0,30,100,3,grass,TRUE,
Mov,July,pitfall,open,10,shrub10,,,,93,2,0,0,5,100,7,herb,TRUE,
Mov,July,pitfall,open,11,shrub11,,,,90,0,0,0,10,100,9,grass,TRUE,
Mov,July,pitfall,open,12,shrub12,,,,97,0,0,0,3,100,17,grass,TRUE,
Mov,July,pitfall,open,13,open1,,,,82,8,0,0,10,100,4,herb,TRUE,
Mov,July,pitfall,open,14,open2,,,,88,2,0,0,10,100,5,herb,TRUE,
Mov,July,pitfall,open,15,open3,,,,90,5,0,0,5,100,3,herb,TRUE,
Mov,July,pitfall,open,16,open4,,,,91,4,0,0,5,100,3,grass,TRUE,
Mov,July,pitfall,open,17,open5,,,,92,4,0,0,4,100,2,herb,TRUE,
Mov,July,pitfall,open,18,open6,,,,93,0,0,0,7,100,5,herb,TRUE,
Mov,July,pitfall,open,19,open7,,,,99,1,0,0,0,100,6,grass,TRUE,
Mov,July,pitfall,open,20,open8,,,,97,1,0,0,2,100,4,grass,TRUE,
Mov,July,pitfall,open,21,open9,,,,95,0,0,0,5,100,11,grass,TRUE,
Mov,July,pitfall,open,22,open10,,,,98,0,0,0,2,100,4,grass,TRUE,
Mov,July,pitfall,open,23,open11,,,,96,0,0,0,4,100,3,grass,TRUE,
Mov,July,pitfall,open,24,open12,,,,97,0,0,0,3,100,4,herb,TRUE,
CaS,Aug,pitfall,shrub,1,,330,320,155,98,0,0,2,0,100,38,grass,TRUE,
CaS,Aug,pitfall,shrub,2,,265,240,130,97,0,2,0,1,100,17,grass,TRUE,
CaS,Aug,pitfall,shrub,3,,350,300,150,70,0,30,0,0,100,22,grass,TRUE,mushroom
CaS,Aug,pitfall,shrub,4,,215,195,95,20,0,30,0,50,100,8,herb,TRUE,
CaS,Aug,pitfall,shrub,5,,600,500,190,100,0,0,0,0,100,35,grass,TRUE,3 big shrubs
CaS,Aug,pitfall,shrub,6,,335,245,140,80,0,1,0,19,100,17,grass,TRUE,
CaS,Aug,pitfall,shrub,7,,330,260,155,91,0,0,0,9,100,41,grass,TRUE,
CaS,Aug,pitfall,shrub,8,,435,360,120,85,0,4,0,11,100,31,grass,TRUE,
CaS,Aug,pitfall,shrub,9,,340,235,115,89,0,3,0,8,100,24,grass,TRUE,
CaS,Aug,pitfall,shrub,10,,990,340,140,25,0,35,0,40,100,22,herb,TRUE,6 shrubs very close together
CaS,Aug,pitfall,shrub,11,,475,445,170,97,0,1,0,2,100,43,grass,TRUE,
CaS,Aug,pitfall,shrub,12,,500,480,155,81,5,4,4,6,100,30,grass,TRUE,
CaS,Aug,pitfall,open,1,,,,,45,0,0,35,20,100,6,herb,TRUE,
CaS,Aug,pitfall,open,2,,,,,30,0,0,2,68,100,6,herb,TRUE,
CaS,Aug,pitfall,open,3,,,,,49,0,0,1,50,100,7,herb,TRUE,
CaS,Aug,pitfall,open,4,,,,,16,0,0,1,83,100,8,herb,TRUE,
CaS,Aug,pitfall,open,5,,,,,23,0,6,2,69,100,4,grass,TRUE,
CaS,Aug,pitfall,open,6,,,,,84,0,0,1,15,100,2,grass,TRUE,
CaS,Aug,pitfall,open,7,,,,,38,0,0,2,60,100,6,grass,TRUE,
CaS,Aug,pitfall,open,8,,,,,52,0,0,3,45,100,10,grass,TRUE,
CaS,Aug,pitfall,open,9,,,,,48,0,0,1,51,100,4,grass,TRUE,
CaS,Aug,pitfall,open,10,,,,,37,0,0,0,63,100,7,herb,TRUE,
CaS,Aug,pitfall,open,11,,,,,41,0,0,1,58,100,10,herb,TRUE,
CaS,Aug,pitfall,open,12,,,,,36,0,0,4,60,100,8,herb,TRUE,
CaSl,Aug,pitfall,open,1,shrub1,,,,92,0,0,0,8,100,13,herb,TRUE,
CaSl,Aug,pitfall,open,2,shrub2,,,,82,3,0,0,15,100,22,grass,TRUE,
CaSl,Aug,pitfall,open,3,shrub3,,,,95,0,2,0,3,100,8,grass,TRUE,
CaSl,Aug,pitfall,open,4,shrub4,,,,49,0,0,0,51,100,15,grass,TRUE,
CaSl,Aug,pitfall,open,5,shrub5,,,,2,0,0,0,98,100,1,grass,TRUE,
CaSl,Aug,pitfall,open,6,shrub6,,,,90,0,0,0,10,100,12,grass,TRUE,
CaSl,Aug,pitfall,open,7,shrub7,,,,15,0,0,0,85,100,3,grass,TRUE,
CaSl,Aug,pitfall,open,8,shrub8,,,,60,0,1,0,39,100,6,grass,TRUE,
CaSl,Aug,pitfall,open,9,shrub9,,,,59,0,0,1,40,100,7,grass,TRUE,
CaSl,Aug,pitfall,open,10,shrub10,,,,94,0,0,1,5,100,3,grass,TRUE,
CaSl,Aug,pitfall,open,11,shrub11,,,,95,0,0,0,5,100,66,grass,TRUE,
CaSl,Aug,pitfall,open,12,shrub12,,,,99,0,1,0,0,100,44,grass,TRUE,
CaSl,Aug,pitfall,open,13,open1,,,,62,3,0,0,35,100,10,grass,TRUE,
CaSl,Aug,pitfall,open,14,open2,,,,11,0,0,0,89,100,1,grass,TRUE,
CaSl,Aug,pitfall,open,15,open3,,,,70,4,0,0,26,100,6,grass,TRUE,
CaSl,Aug,pitfall,open,16,open4,,,,99,0,1,0,0,100,67,grass,TRUE,
CaSl,Aug,pitfall,open,17,open5,,,,50,0,0,0,50,100,11,grass,TRUE,
CaSl,Aug,pitfall,open,18,open6,,,,40,0,0,0,60,100,10,herb,TRUE,
CaSl,Aug,pitfall,open,19,open7,,,,95,0,0,0,5,100,2,grass,TRUE,
CaSl,Aug,pitfall,open,20,open8,,,,80,0,6,0,14,100,8,grass,TRUE,
CaSl,Aug,pitfall,open,21,open9,,,,75,0,0,0,25,100,4,grass,TRUE,
CaSl,Aug,pitfall,open,22,open10,,,,94,0,5,0,1,100,16,grass,TRUE,
CaSl,Aug,pitfall,open,23,open11,,,,85,0,0,0,15,100,12,herb,TRUE,
CaSl,Aug,pitfall,open,24,open12,,,,93,0,0,0,7,100,14,grass,TRUE,
Lok,Aug,pitfall,shrub,1,,390,250,140,100,0,0,0,0,100,30,grass,TRUE,
Lok,Aug,pitfall,shrub,2,,350,370,150,70,0,0,4,26,100,26,grass,TRUE,
Lok,Aug,pitfall,shrub,3,,120,90,100,94,0,0,0,6,100,28,grass,TRUE,
Lok,Aug,pitfall,shrub,4,,250,210,140,80,0,0,0,20,100,26,grass,TRUE,
Lok,Aug,pitfall,shrub,5,,390,310,155,96,0,1,0,3,100,29,grass,TRUE,
Lok,Aug,pitfall,shrub,6,,450,200,180,45,0,0,0,55,100,16,grass,TRUE,
Lok,Aug,pitfall,shrub,7,,320,210,120,90,0,0,0,10,100,24,grass,TRUE,
Lok,Aug,pitfall,shrub,8,,180,150,105,97,0,0,0,3,100,24,grass,TRUE,Two shrubs very close together
Lok,Aug,pitfall,shrub,9,,110,75,145,65,0,0,0,35,100,22,grass,TRUE,
Lok,Aug,pitfall,shrub,10,,180,155,120,98,0,0,0,2,100,16,grass,TRUE,
Lok,Aug,pitfall,shrub,11,,245,140,100,42,0,0,0,58,100,12,grass,TRUE,
Lok,Aug,pitfall,shrub,12,,190,150,130,45,0,0,0,55,100,19,grass,TRUE,
Lok,Aug,pitfall,open,1,,,,,85,0,0,3,12,100,18,herb,TRUE,
Lok,Aug,pitfall,open,2,,,,,12,0,0,30,58,100,26,herb,TRUE,
Lok,Aug,pitfall,open,3,,,,,50,0,0,1,49,100,27,grass,TRUE,
Lok,Aug,pitfall,open,4,,,,,96,0,1,0,3,100,29,grass,TRUE,
Lok,Aug,pitfall,open,5,,,,,30,0,0,0,70,100,22,herb,TRUE,
Lok,Aug,pitfall,open,6,,,,,6,2,0,1,91,100,7,grass,TRUE,
Lok,Aug,pitfall,open,7,,,,,80,0,0,1,19,100,17,herb,TRUE,
Lok,Aug,pitfall,open,8,,,,,87,0,0,0,13,100,25,herb,TRUE,
Lok,Aug,pitfall,open,9,,,,,60,0,0,1,39,100,14,herb,TRUE,
Lok,Aug,pitfall,open,10,,,,,15,0,0,15,70,100,7,herb,TRUE,
Lok,Aug,pitfall,open,11,,,,,0,0,0,2,98,100,0,NA,NA,
Lok,Aug,pitfall,open,12,,,,,15,3,1,50,31,100,20,grass,TRUE,
SemiT,Aug,pitfall,shrub,1,,190,185,100,99,0,0,0,1,100,19,grass,TRUE,
SemiT,Aug,pitfall,shrub,2,,130,105,100,13,0,0,0,87,100,7,herb,TRUE,
SemiT,Aug,pitfall,shrub,3,,160,160,110,94,0,2,0,4,100,15,grass,TRUE,
SemiT,Aug,pitfall,shrub,4,,205,190,95,100,0,0,0,0,100,16,grass,TRUE,
SemiT,Aug,pitfall,shrub,5,,105,95,85,99,0,1,0,0,100,15,grass,TRUE,
SemiT,Aug,pitfall,shrub,6,,180,170,90,100,0,0,0,0,100,22,grass,TRUE,
SemiT,Aug,pitfall,shrub,7,,230,225,110,100,0,0,0,0,100,25,grass,TRUE,
SemiT,Aug,pitfall,shrub,8,,255,170,90,98,0,0,1,1,100,17,grass,TRUE,
SemiT,Aug,pitfall,shrub,9,,300,260,105,96,0,0,0,4,100,16,grass,TRUE,
SemiT,Aug,pitfall,shrub,10,,280,260,105,92,0,8,0,0,100,23,grass,TRUE,
SemiT,Aug,pitfall,shrub,11,,305,295,125,90,0,0,0,10,100,19,grass,TRUE,
