,S_ID,sample?,site,month,day,microsite,rep,method,location,quantity,order,family,subfamily,,genus,species,highest.rtu,Size (mm),sex,
1100,,,Aven,Aug ,11,open,3,PT,ET,1,Diptera,Phoridae,,,,,,,,
1104,,,Aven,Aug ,11,open,3,PT,ET,1,Hymenoptera,Formicidae,,,Solenopsis,xyloni,Solenopsis xyloni,,,
,,,Aven,Aug ,11,open,3,PT,ET,1,Zygentoma,Lepismatidae,,,,,,,,
1101,,,Aven,Aug ,11,shrub,3,PT,ET,6,Hymenoptera,Formicidae,,,Solenopsis,xyloni,Solenopsis xyloni,,,
,Aven-A11-S3-PT-1,Y,Aven,Aug ,11,shrub,3,PT,pinned,1,Coleoptera,Tenebrionidae,,,I think different,,,,,
,,,Aven,Aug ,11,shrub,3,PT,ET,1,Aranae,Gnaphosidae,,,,,,,,
1118,,,Aven,Aug ,11,open,4,PT,ET,3,Hymenoptera,Formicidae,,,Forelius,pruinosus,Forelius pruinosus,,F,
,,,Aven,Aug ,11,open,4,PT,ET,1,Hymenoptera,Formicidae,,,Solenopsis,xyloni,Solenopsis xyloni,,,
,,,Aven,Aug ,11,open,4,PT,ET,1,Dipetera,Phoridae,,,,,,,,
,,,Aven,Aug ,11,open,4,PT,ET,1,Aranae,Gnaphosidae,,,young,,,,,
,Aven-A11-O4-PT-1,,Aven,Aug ,11,open,4,PT,pinned,1,Coleoptera,Carabidae,,,,,,,,
1107,,,Aven,Aug ,11,shrub,4,PT,ET,1,Aranae,Sicariidae,,,Loxosceles,deserta,Loxosceles deserta,,,
,,,Aven,Aug ,11,shrub,4,PT,ET,1,Zygentoma,Lepismatidae,,,,,,,,
,,,Aven,Aug ,11,shrub,4,PT,ET,8,Hymenoptera,Formicidae,,,Forelius,,,,,
,Aven-A11-S4-PT-1,N,Aven,Aug ,11,shrub,4,PT,ET,1,Aranae,Plectreuridae,,,,,,,,
1117,,,Aven,Aug ,11,open,5,PT,ET,5,Hymenoptera,Formicidae,,,Forelius,pruinosis,Forelius pruinosus,,,
,,,Aven,Aug ,11,open,5,PT,ET,1,Hymenoptera,Formicidae,,,Solenopsis,xyloni,Solenopsis xyloni,,,
,,,Aven,Aug ,11,open,5,PT,ET,1,Aranae,Theridiidae,,,Steatoda,albomaculata?,,,,
,,,Aven,Aug ,11,open,5,PT,ET,1,Coleoptera,,,,,,,,,
1106,,,Aven,Aug ,11,shrub,5,PT,ET,1,Scorpiones,,,,,,,,,
,,,Aven,Aug ,11,shrub,5,PT,ET,1,Isopoda,,,,,,,,,
,,,Aven,Aug ,11,shrub,5,PT,ET,11,Hymenoptera,Formicidae,,,Solenopsis,xyloni,Solenopsis xyloni,,,
,,,Aven,Aug ,11,shrub,5,PT,ET,5,Hymenoptera,Formicidae,,,Forelius,,,,,
,,,Aven,Aug ,11,shrub,5,PT,ET,1,Aranae,Pholcidae,,,Psilochorus,,,,,
,,,Aven,Aug ,11,shrub,5,PT,ET,1,Aranae,Salticidae,,,,,,,,
,Aven-A11-S5-PT-1,Y,Aven,Aug ,11,shrub,5,PT,ET,1,Coleoptera,Tenebrionidae,,,,,,,,
,,,Aven,Aug ,11,shrub,5,PT,ET,1,Aranae,Philodromidae,,,Apollophanes,texana,Apollophanes texana,,,
,Aven-A11-S5-PT-2,Y,Aven,Aug ,11,shrub,5,PT,ET,1,Hymenoptera,Bethylidae,,,,,,,,
,,,Aven,Aug ,11,shrub,5,PT,ET,1,Aranae,Gnaphosidae,,,immautre,,,,,
1110,,,Aven,Aug ,11,open,6,PT,ET,7,Hymenoptera,Formicidae,,,Forelius,pruinosis,Forelius pruinosus,,,
,,,Aven,Aug ,11,open,6,PT,ET,1,Aranae,Pholcidae,,,Psilochorus,,,,,
,Aven-A11-O6-PT-2,,Aven,Aug ,11,open,6,PT,pinned,1,Hymenoptera,Chyphotidae,,,Chyphotes,,,,,
,,,Aven,Aug ,11,open,6,PT,ET,1,Coleoptera,,,,,,,,,
,Aven-A11-O6-PT-1,Y,Aven,Aug ,11,open,6,PT,ET,1,Lepidoptera,,,,,,,,,
,,,Aven,Aug ,11,open,6,PT,ET,2,Hymenoptera,Formicidae,,,Solenopsis,xyloni,Solenopsis xyloni,,,
1113,,,Aven,Aug ,11,shrub,6,PT,ET,40,Hymenoptera,Formicidae,,,Solenopsis,xyloni,Solenopsis xyloni,,,
,,,Aven,Aug ,11,shrub,6,PT,ET,1,Zygentoma,Lepismatidae,,,,,,,,
,Aven-A11-S6-PT-1,,Aven,Aug ,11,shrub,6,PT,pinned,1,Mantodea,,,,,,,,,
,,,Aven,Aug ,11,shrub,6,PT,ET,1,Acari,,,,,,,,,
,,,Aven,Aug ,11,shrub,6,PT,ET,1,Aranae,,,,,,immature pholcid,,,
,,,Aven,Aug ,11,shrub,6,PT,ET,1,Aranae,Gnaphosidae,,,,,spiderling,,,
,,,Aven,Aug ,11,shrub,6,PT,ET,1,Aranae,Gnaphosidae,,,Trachyzelotes?,,,,,
1102,,,Aven,Aug ,11,open,7,PT,ET,2,Scorpiones,,,,,,,,,
,,,Aven,Aug ,11,open,7,PT,ET,3,Hymenoptera,Formicidae,,,Forelius,pruinosis,Forelius pruinosus,,,
,,,Aven,Aug ,11,open,7,PT,ET,5,Hymenoptera,Formicidae,,,Solenopsis,xyloni,Solenopsis xyloni,,,
,Aven-A11-O7-PT-1,Y,Aven,Aug ,11,open,7,PT,ET,1,Coleoptera,Tenebrionidae,,,,,,,,
1115,,,Aven,Aug ,11,shrub,7,PT,ET,4,Hymenoptera,Formicidae,,,Forelius,pruinosis,Forelius pruinosus,,,
,,,Aven,Aug ,11,shrub,7,PT,ET,19,Hymenoptera,Formicidae,,,Solenopsis,xyloni,Solenopsis xyloni,,,
,,,Aven,Aug ,11,shrub,7,PT,ET,1,Hymenoptera,Bethylidae,,,,,,,,
,,,Aven,Aug ,11,shrub,7,PT,ET,4,Aranae,Gnaphosidae,,,immature,,,,,
,,,Aven,Aug ,11,shrub,7,PT,ET,1,Aranae,Gnaphosidae,,,Callilepus,,,,M,
1109,,,Aven,Aug ,11,open,8,PT,ET,1,Hymenoptera,Formicidae,,,Forelius,pruinosis,Forelius pruinosus,,,
,,,Aven,Aug ,11,open,8,PT,ET,17,Hymenoptera,Formicidae,,,Solenopsis,xyloni,Solenopsis xyloni,,,
,,,Aven,Aug ,11,open,8,PT,ET,1,Blattodea,Corydiidae,,,Arenivaga,immature,,,,
,,,Aven,Aug ,11,open,8,PT,ET,1,Coleoptera,,,,,,,,,
,,,Aven,Aug ,11,open,8,PT,ET,1,Coleoptera,Tenebrionidae,,,,,,,,
,,,Aven,Aug ,11,open,8,PT,ET,1,Coleoptera,Carabidae,,,,,,,,
1112,,,Aven,Aug ,11,shrub,8,PT,ET,1,Scorpiones,,,,,,,,,
,,,Aven,Aug ,11,shrub,8,PT,ET,1,Blattodea,Corydiidae,,,Arenivaga,,,,F,
,,,Aven,Aug ,11,shrub,8,PT,ET,2,Aranae,Pholcidae,,,Psilochorus,,,,,
,,,Aven,Aug ,11,shrub,8,PT,ET,16,Hymenoptera,Formicidae,,,Solenopsis,xyloni,Solenopsis xyloni,,F,
,,,Aven,Aug ,11,shrub,8,PT,ET,2,Hymenoptera,Formicidae,,,Forelius,pruinosus,Forelius pruinosus,,F,
,,,Aven,Aug ,11,shrub,8,PT,ET,1,Aranae,Gnaphosidae,,,Callilepus,,,,M,
1098,,,Aven,Aug ,11,open,9,PT,ET,9,Hymenoptera,Formicidae,,,Solenopsis,xyloni,Solenopsis xyloni,,F,
,,,Aven,Aug ,11,open,9,PT,ET,3,Hymenoptera,Formicidae,,,Forelius,pruinosus,Forelius pruinosus,,F,
,Aven-A11-O9-PT-1,,Aven,Aug ,11,open,9,PT,pinned,1,Hemiptera,Alydidae,,,Tollius,,,,,
,,,Aven,Aug ,11,open,9,PT,ET,1,Zygentoma,Lepismatidae,,,,,,,,
,,,Aven,Aug ,11,open,9,PT,ET,1,Hemiptera,Rhyparochromidae,,,Emblethis ,vicarius,Emblethis vicarius,,,
1103,,,Aven,Aug ,11,shrub,9,PT,ET,15,Hymenoptera,Formicidae,,,Solenopsis,xyloni,Solenopsis xyloni,,,
,Aven-A11-S9-PT-5,Y,Aven,Aug ,11,shrub,9,PT,ET,1,Coleoptera,Tenebrionidae,,,,,,,,
,,,Aven,Aug ,11,shrub,9,PT,ET,1,Diptera,Drosophilidae,,,,,,,,
,Aven-A11-S9-PT-4,Y,Aven,Aug ,11,shrub,9,PT,ET,1,Coleoptera,,,,,,,,,
,Aven-A11-S9-PT-1,Y,Aven,Aug ,11,shrub,9,PT,pinned,1,Hymenoptera,Pompilidae,,,Ageniella,accepta,Ageniella accepta,,,
,Aven-A11-S9-PT-2,Y,Aven,Aug ,11,shrub,9,PT,ET,1,Aranae,Gnaphosidae,,,Callilepus,,,,,
,Aven-A11-S9-PT-3,Y,Aven,Aug ,11,shrub,9,PT,ET,1,Aranae,Gnaphosidae,,,Drassodes?,,,,,
1114,,,Aven,Aug ,11,shrub,10,PT,ET,1,Scorpiones,,,,,,,,,
,,,Aven,Aug ,11,shrub,10,PT,ET,1,Aranae,Lycosidae,,,Alopecosa,kochi,Alopecosa kochi,,,
,,,Aven,Aug ,11,shrub,10,PT,ET,1,Hymenoptera,Formicidae,,,Solenopsis,xyloni,Solenopsis xyloni,,,
,,,Aven,Aug ,11,shrub,10,PT,pinned,1,Coleoptera,Tenebrionidae,,,Eleodes,armata,Eleodes armata,,,
,,,Aven,Aug ,11,shrub,10,PT,ET,1,Coleoptera,Tenebrionidae,,,Anepsius,,,,,
,,,Aven,Aug ,11,open,10,PT,ET,9,Hymenoptera,Formicidae,,,Solenopsis,xyloni,Solenopsis xyloni,,,
1105,,,Aven,Aug ,11,open,11,PT,ET,6,Hymenoptera,Formicidae,,,Solenopsis,xyloni,Solenopsis xyloni,,,
,,,Aven,Aug ,11,open,11,PT,ET,1,Coleoptera,Tenebrionidae,,,Anepsius,,Anepsius,,,
,,,Aven,Aug ,11,open,11,PT,ET,1,Diptera,Phoridae,,,,,,,,
,,,Aven,Aug ,11,open,11,PT,ET,1,Aranae,Gnaphosidae,,,,,immature,,,
,,,Aven,Aug ,11,open,11,PT,ET,2,Hymenoptera,Formicidae,,,Forelius,,Forelius,,,
1121,,,Aven,Aug ,11,shrub,11,PT,ET,1,Scorpiones,,,,,,,,,
,,,Aven,Aug ,11,shrub,11,PT,ET,1,Aranae,Gnaphosidae,,,Trachyzelotes?,,,,,
,,,Aven,Aug ,11,shrub,11,PT,ET,1,Coleoptera,Carabidae,,,,,,,,
,Aven-A11-S11-PT-1,Y,Aven,Aug ,11,shrub,11,PT,pinned,1,Orthoptera,Acrididae,Gomphercinae,,Eupnigodes,sierranus,,,,
1111,,,Aven,Aug ,11,shrub,12,PT,ET,1,Acari,,,,,,,,,
,,,Aven,Aug ,11,shrub,12,PT,ET,1,Aranae,Gnaphosidae,,,immature,,,,,
,Aven-A11-O12-PT-1,Y,Aven,Aug ,11,open,12,PT,ET,1,Solifugae,,,,,,,,,
,,,Aven,Aug ,11,open,12,PT,ET,1,Scorpiones,,,,,,,,,
,,,Aven,Aug ,11,open,12,PT,ET,2,Hymenoptera,Formicidae,,,Dorymyrmex,bicolor,Dorymyrmex bicolor,,,
39,,,Aven,July,24,open,1,PT,ET,1,Coleoptera,Tenebrionidae,,,Eleodes,armata,Eleodes armata,,,
,,,Aven,July,24,open,1,PT,ET,1,Coleoptera,Tenebrionidae,,,Blapstinus,,,,,
,,,Aven,July,24,open,1,PT,pinned,1,Hymenoptera,Mutillidae,,,,,,,,
,,,Aven,July,24,open,1,PT,ET,1,Aranae,Gnaphosidae,,,comb,,,,,
,,,Aven,July,24,open,1,PT,ET,1,Coleoptera,Mycetophagidae,,,Typhea,stercoa,,,,
,,,Aven,July,24,open,1,PT,ET,1,Diptera,Phoridae,,,,,,,,
,,,Aven,July,24,open,1,PT,ET,1,Solifugae,Eremobatidae,,,,,,,,
49,,,Aven,July,24,shrub,1,PT,ET,1,Hemiptera,Rhyparochromidae,,,Emblethis,vicarius,Emblethis vicarius,,,
,,,Aven,July,24,shrub,1,PT,ET,1,Diptera,Sarcophagidae,,,,,,,,
,,,Aven,July,24,shrub,1,PT,ET,1,Coleoptera,Nitulidae,,,,,,,,
41,,,Aven,July,24,open,2,PT,ET,39,Hymenoptera,Formicidae,,,Solenopsis,xyloni,Solenopsis xyloni,,,
,,,Aven,July,24,open,2,PT,ET,1,Coleoptera,Tenebrionidae,,,Blapstinus,,,,,
,,,Aven,July,24,open,2,PT,ET,1,Orthoptera,"tiny but has ovipositor, unfamiliar",,,,,,,,
,,,Aven,July,24,open,2,PT,ET,1,Hymenoptera,Eupelmidae?,Neanastatinae,,,,,,,
,,,Aven,July,24,open,2,PT,ET,1,Hymenoptera,Bethylidae,Scleroderminae?,,,,,,,
50,,,Aven,July,24,shrub,2,PT,ET,1,Orthoptera,Gryllidae,,,,,,5.1,,
,,,Aven,July,24,shrub,2,PT,ET,1,Coleoptera,Tenebrionidae,,,Blapstinus,,,,,
,,,Aven,July,24,shrub,2,PT,ET,2,Hymenoptera,Formicidae,,,Dorymyrmex,bicolor,Dorymyrmex bicolor,,,
,,,Aven,July,24,shrub,2,PT,ET,1,Hymenoptera,Formicidae,,,Pheidole,,Pheidole,,,
,,,Aven,July,24,shrub,2,PT,ET,1,Diptera,Drosophilidae,,,,,,,,
,,,Aven,July,24,nolabel,nolabel-1,,,1,Coleoptera,Tenebrionidae,,,,,,,,
,,,Aven,July,24,nolabel,nolabel-1,,,25,Hymenoptera,Formicidae,,,Solenopsis,xyloni,Solenopsis xyloni,,,
,,,Aven,July,24,nolabel,nolabel-1,,,1,Orthoptera,"tiny but has ovipositor, unfamiliar",,,,,,,,
,,,Aven,July,24,nolabel,nolabel-2,,,5,Hymenoptera,Formicidae,,,Pheidole,,Pheidole,,,
,,,Aven,July,24,nolabel,nolabel-2,,,1,Hymenoptera,Formicidae,,,Solenopsis,xyloni,Solenopsis xyloni,,,
,,,Aven,July,24,nolabel,nolabel-2,,,1,Aranae,Sicariidae,,,Loxosceles,deserta,Loxosceles deserta,,,
,,,Aven,July,24,nolabel,nolabel-2,,,1,Aranae,Gnaphosidae,,,Callilepus,gosoga,Callilepus gosoga,,,
51,,,Aven,July,24,shrub,3,PT,ET,2,Hymenoptera,Formicidae,,,Dorymyrmex,bicolor,Dorymyrmex bicolor,,,
,,,Aven,July,24,shrub,3,PT,ET,2,Isopoda,Porcellionidae,,,Porcellionides ,floria,Porcellionides floria,,,
,,,Aven,July,24,shrub,3,PT,ET,1,Coleoptera,Tenebrionidae,,,Blapstinus,,,,,
,Aven-J24-S3-PT-1,,Aven,July,24,shrub,3,PT,ET,1,Hymenoptera,Mutillidae,,,,,,,,
,Aven-J24-S3-PT-2,,Aven,July,24,shrub,3,PT,ET,1,Hymenoptera,Mutillidae,,,,,,,,
52,,,Aven,July,24,shrub,4,PT,ET,1,Orthoptera,Acrididae,Gomphercinae,,Eupnigodes,sierranus,Eupnigodes sierranus,,,
,,,Aven,July,24,shrub,4,PT,ET,1,Orthoptera,Gryllidae,,,,,,,,
,,,Aven,July,24,shrub,4,PT,ET,1,Zygentoma,Lepismatidae,,,,,,,,
,,,Aven,July,24,shrub,4,PT,ET,1,Coleoptera,Tenebrionidae,,,Blapstinus,,,,,
43,,,Aven,July,24,open,4,PT,ET,1,Orthoptera,Gryllidae,,,,,,,,
,,,Aven,July,24,open,4,PT,ET,1,Hymenoptera,Mutillidae,,,,,,,,
,,,Aven,July,24,open,4,PT,ET,1,Coleoptera,Tenebrionidae,,,Blapstinus,,,,,
,,,Aven,July,24,open,4,PT,ET,1,Coleoptera,Tenebrionidae,,,Auchmobius,,,,,
,,,Aven,July,24,open,4,PT,ET,1,Hymenoptera,Bethlyidae,,,,,,,,
,,,Aven,July,24,open,4,PT,ET,2,Hymenoptera,Formicidae,,,Pheidole,,Pheidole,,,
,,,Aven,July,24,open,4,PT,ET,1,Hymenoptera,cool skinny chalcid,,,,,,,,
,,,Aven,July,24,open,4,PT,ET,1,Aranae,Lycosidae,,,Alopecosa,kochi,Alopecosa kochi,,,
,,,Aven,July,24,open,5,PT,ET,2,Hymenoptera,Formicidae,,,Pheidole,,Pheidole,,,
,,,Aven,July,24,open,5,PT,ET,1,Aranae,Pholcidae,,,Psilochorus,,,,,
53,,,Aven,July,24,shrub,5,PT,ET,1,Aranae,Lycosidae,,,Schizocosa,mcooki or maxima,looks maxima,,,
,,,Aven,July,24,shrub,5,PT,ET,5,Embiidae,,,,,,,,,
,,,Aven,July,24,shrub,5,PT,ET,4,Hymenoptera,Formicidae,,,Pheidole,,Pheidole,,,
44,,,Aven,July,24,open,6,PT,ET,8,Hymenoptera,Formicidae,,,Pheidole,,Pheidole,,,
,,,Aven,July,24,open,6,PT,ET,4,Hymenoptera,Formicidae,,,Solenopsis,xyloni,Solenopsis xyloni,,,
,,,Aven,July,24,open,6,PT,ET,2,Mantodea,Mantidae,,,Litaneutria,minor,Litaneutria minor,,,
54,,,Aven,July,24,shrub,6,PT,ET,15,Hymenoptera,Formicidae,,,Pheidole,,Pheidole,,,
,,,Aven,July,24,shrub,6,PT,ET,1,Zygentoma,Lepismatidae,,,,,,,,
,,,Aven,July,24,shrub,6,PT,ET,1,Isopoda,Porcellionidae,,,Porcellionides ,floria,Porcellionides floria,,,
,,,Aven,July,24,shrub,6,PT,ET,2,Acari,,,,,,,,,
45,,,Aven,July,24,open,7,PT,ET,1,Hymenoptera,Pompilidae,,,Ageniella?,,,,,
,,,Aven,July,24,open,7,PT,ET,2,Coleoptera,Tenebrionidae,,,Blapstinus,,,,,
,,,Aven,July,24,open,7,PT,ET,1,Hymenoptera,Formicidae,,,Pheidole,,Pheidole,,,
,,,Aven,July,24,open,7,PT,ET,1,Aranae,Thomisidae,,,Xysticus,,,,,
,,,Aven,July,24,open,7,PT,ET,1,Aranae,Gnaphosidae,,,tiny,,,,,
55,,,Aven,July,24,shrub,7,PT,ET,1,Coleoptera,Tenebrionidae,,,Eleodes,armata,Eleodes armata,,,
,,,Aven,July,24,shrub,7,PT,ET,1,Orthoptera,Gryllidae,,,,,,,,
,,,Aven,July,24,shrub,7,PT,ET,1,Orthoptera,Rhaphiophoridae,,,Ceuthophilus,fossor,Ceuthophilus fossor,,,
,,,Aven,July,24,shrub,7,PT,ET,16,Hymenoptera,Formicidae,,,Pheidole,,Pheidole,,,
46,,,Aven,July,24,open,8,PT,ET,1,Coleoptera,Tenebrionidae,,,Eleodes,armata,Eleodes armata,,,
,,,Aven,July,24,open,8,PT,ET,2,Orthoptera,Rhaphiophoridae,,,Ceuthophilus,fossor,Ceuthophilus fossor,,,
,,,Aven,July,24,open,8,PT,ET,1,Hymenoptera,Formicidae,,,Pheidole,,Pheidole,,,
,,,Aven,July,24,open,8,PT,ET,1,Hymenoptera,Formicidae,,,Solenopsis,xyloni,Solenopsis xyloni,,,
,,,Aven,July,24,open,8,PT,ET,1,Coleoptera,Mycetophagidae,,,,,,,,
56,,,Aven,July,24,shrub,8,PT,ET,2,Coleoptera,Tenebrionidae,,,Eleodes,armata,Eleodes armata,,,
,,,Aven,July,24,shrub,8,PT,ET,1,Hymenoptera,Formicidae,,,Solenopsis,xyloni,Solenopsis xyloni,,,
,,,Aven,July,24,shrub,8,PT,ET,6,Hymenoptera,Formicidae,,,Pheidole,,Pheidole,,,
,,,Aven,July,24,shrub,8,PT,ET,1,Mantodea,Mantidae,,,Litaneutria,minor,Litaneutria minor,,,
47,,,Aven,July,24,open,9,PT,ET,5,Hymenoptera,Formicidae,,,Pheidole,,Pheidole,,,
,,,Aven,July,24,open,9,PT,ET,1,Orthoptera,Rhaphiophoridae,,,Ceuthophilus,fossor,Ceuthophilus fossor,fewer nodes than usual,,
,,,Aven,July,24,open,9,PT,ET,1,Coleoptera,Tenebrionidae,,,Blapstinus?,,,,,
57,,,Aven,July,24,shrub,9,PT,ET,3,Hymenoptera,Formicidae,,,Pheidole,,Pheidole,,,
,,,Aven,July,24,shrub,9,PT,ET,1,Coleoptera,Tenebrionidae,,,Blapstinus,,,,,
,,,Aven,July,24,shrub,9,PT,ET,1,Coleoptera,Tenebrionidae,,,,,,,,
58,,,Aven,July,24,shrub,10,PT,ET,2,Hymenoptera,Mutillidae,,,,,,,,
,,,Aven,July,24,open,10,PT,ET,1,Orthoptera,Acrididae,Gomphercinae,,Eupnigodes,sierranus,Eupnigodes sierranus,,,
,,,Aven,July,24,open,10,PT,ET,1,Orthoptera,Acrididae,Melanopinae,,Oedaleonotus,enigma,"Oedaleonotus enigma
",,,
,,,Aven,July,24,open,10,PT,ET,21,Hymenoptera,Formicidae,,,Solenopsis,xyloni,Solenopsis xyloni,,,
,,,Aven,July,24,open,10,PT,ET,1,Coleoptera,Tenebrionidae,,,Conobio?,,,,,
,,,Aven,July,24,open,10,PT,ET,1,Hymenoptera,Pompilidae,,,,,,,,
,Aven-J24-O10-PT-1,,Aven,July,24,open,10,PT,pinned,1,Hymenoptera,Mutillidae,,,,,,,,
48,,,Aven,July,24,shrub,11,PT,ET,1,Hymenoptera,Bethlyidae,,,,,,,,
,,,Aven,July,24,shrub,11,PT,ET,1,Hymenoptera,Formicidae,,,Dorymyrmex,bicolor,Dorymyrmex bicolor,,,
,,,Aven,July,24,shrub,11,PT,ET,1,Aranae,Gnaphosidae,,,Callilepus,gosoga,Callilepus gosoga,,,
59,,,Aven,July,24,open,11,PT,ET,3,Hymenoptera,Formicidae,,,Messor,pergandei,Messor pergandei,,,
,,,Aven,July,24,open,11,PT,ET,31,Hymenoptera,Formicidae,,,Solenopsis,xyloni,Solenopsis xyloni,,,
,,,Aven,July,24,open,11,PT,ET,1,Aranae,Araneidae?,tiny but distinctive,,,,,,,
,,,Aven,July,24,open,11,PT,ET,1,Mantodea,Mantidae,,,Litaneutria ,minor,Litaneutria minor,tiny,,
,,,Aven,July,24,open,11,PT,ET,1,Coleoptera,Tenebrionidae,,,Blapstinus,,,,,
,,,Aven,July,24,open,11,PT,ET,1,Orthoptera,Rhaphiophoridae,,,Ceuthophilus,fossor,Ceuthophilus fossor,,,
,,,Aven,July,24,open,11,PT,ET,2,Aranae,Gnaphosidae,,,Callilepus,gosoga,Callilepus gosoga,,,
60,,,Aven,July,24,shrub,12,PT,ET,40,Hymenoptera,Formicidae,,,Solenopsis,xyloni,Solenopsis xyloni,,,
,,,Aven,July,24,shrub,12,PT,ET,1,Hymenoptera,Formicidae,,,Cyphomyrmex,wheeleri,Cyphomyrmex wheeleri,,,
,,,Aven,July,24,shrub,12,PT,ET,1,Coleoptera,Tenebrionidae,,,Eleodes?,,,,,
,,,Aven,July,24,shrub,12,PT,ET,1,Coleoptera,Tenebrionidae,,,Blapstinus,,,,,
,,,Aven,July,24,shrub,12,PT,ET,1,Aranae,Gnaphosidae,,,Drassylus,fractus best match so far,,,,
,,,Aven,July,24,shrub,12,PT,ET,4,Aranae,Gnaphosidae,,,Callilepus,gosoga,Callilepus gosoga,,,
37,,,Aven,July,24,nolabel,nolabel,PT,ET,,,,,,,,,,,
38,,,Aven,July,24,nolabel,nolabel,PT,ET,,,,,,,,,,,
1959,,,Aven,Sept,9,open,8,PT,ET,1,Coleoptera,Tenebrionidae,,,,,,,,
1960,,,Aven,Sept,9,open,8,PT,ET,1,Diptera,,,,,,,,,
,,,CaS,Aug ,5,open,1,PT,ET,1,Aranae,Pholcidae,,,Psilochorus,,,,,
1058,,,CaS,Aug ,5,open,1,PT,pinned,1,Coleoptera,Tenebrionidae,,,Eleodes,armata,Eleodes armata,,,
,,,CaS,Aug ,5,open,1,PT,pinned,1,Hemiptera,,,,,,,,,
,,,CaS,Aug ,5,open,1,PT,ET,145,Hymenoptera,Formicidae,,,Solenopsis,xyloni,Solenopsis xyloni,,,
,,,CaS,Aug ,5,open,1,PT,ET,13,Hymenoptera,Formicidae,,,Pheidole,,Pheidole,,,
,,,CaS,Aug ,5,open,1,PT,ET,2,Hymenoptera,Formicidae,,,Forelius,pruinsous,Forelius pruinosus,,,
,,,CaS,Aug ,5,open,1,PT,ET,1,Hymenoptera,Formicidae,,,Myrmecocystus,,Myrmecocystus,,,
,,,CaS,Aug ,5,open,1,PT,ET,3,Hymenoptera,Formicidae,,,Dorymyrmex,insanus?,Dorymyrmex insanus,,,
,,,CaS,Aug ,5,open,1,PT,ET,1,Hymenoptera,Platygrastridae,,,,,,,,
1061,,,CaS,Aug ,5,open,1,PT,ET,1,Psocoptera,,,,,,,,,
,,,CaS,Aug ,5,shrub,1,PT,ET,1,Aranae,Lycosidae,,,Alecoposa,,,,,
